Date,Time,North Price,West Price,South Price,Houston Price,North Load,West Load,South Load,Houston Load,North Predicted Load,West Predicted Load,South Predicted Load,Houston Predicted Load,Oil Price
01/03/2023,17:00,47.7025,96.8825,50.28,48.9725,13218.111075,7333.142349000001,11073.182722,11766.038706,17858.469670069804,7890.58717909093,12004.441987180773,15377.570558669353,76.87
01/03/2023,18:00,33.3625,62.5875,34.9575,34.1475,13562.548279,7211.008253999999,11067.836547,11444.000117,19783.989967412366,8187.743413148902,13134.545010756858,17543.290022533336,76.87
01/03/2023,19:00,25.2075,28.8025,25.4075,25.3025,14155.537582,7440.487414,11311.182374,11361.330302,20125.73914075664,8266.625428727857,13485.007188551152,16445.1011181014,76.87
01/03/2023,20:00,22.115,22.4575,22.1325,22.1225,14160.115453,7462.3205530000005,11100.919995,11069.366512,20113.153543958986,8286.82913256284,13523.9053495002,16017.747879619294,76.87
01/03/2023,21:00,18.8175,18.8175,18.8175,18.8175,13912.123099999999,7454.687236,10718.815152,10720.698373,19410.21094616376,8161.692566011343,13056.254570557041,15445.007364267318,76.87
01/03/2023,22:00,19.455,19.455,19.455,19.455,13373.486266,7463.2637110000005,10260.152387999999,10222.605937,17942.614882260794,7989.256050179183,12534.514229251698,14670.439738150777,76.87
01/03/2023,23:00,16.12,16.12,16.12,16.12,12636.805448,7345.141628,9665.022748,9632.097448,16947.72630407303,7827.3093998051145,11756.610509703725,13885.492715930404,76.87
01/04/2023,00:00,22.745,22.745,22.745,22.745,11947.883021,7282.346268,9032.53555,9018.170515,16543.5429073435,7809.353768996674,11543.581390707774,12754.391408379975,72.82
01/04/2023,01:00,17.545,17.54,17.545,17.545,11598.613003999999,7245.578632,8620.432571,8432.188574,16293.099015668573,7776.1237491270585,11329.471837133913,12541.78687422213,72.82
01/04/2023,02:00,17.0525,17.0525,17.0525,17.0525,11411.526555,7250.258122,8311.953625999999,8215.225262,16198.794893250626,7761.377807973913,11320.08742315039,12451.219433925648,72.82
01/04/2023,03:00,17.5425,17.525,17.545,17.5425,11499.362292,7255.801886,8164.606486000001,8116.024978,16142.457192033757,7735.242819520297,11390.676190325587,12431.481678782471,72.82
01/04/2023,04:00,19.4525,19.44,19.4525,19.4525,11684.473275,7250.464883,8227.342297,8084.418289,16487.55169092801,7784.8092100819795,11675.257230478648,12604.427410979051,72.82
01/04/2023,05:00,31.3675,31.3675,31.3675,31.3675,12180.70522,7266.6192980000005,8489.063065,8231.483713,17520.036255692896,7886.569019001273,12466.12696271406,13170.996686409395,72.82
01/04/2023,06:00,48.6175,48.5725,48.625,48.6225,13381.320055,7468.911894,8968.352187,8742.650003,19624.601936000625,8105.045153631239,13586.557126586964,14231.504776368183,72.82
01/04/2023,07:00,37.9975,37.9975,37.9975,37.9975,14976.734396,7722.050950999999,9757.454253,9426.920935,20897.993970472402,8244.444157964797,14174.892973319122,14314.981922710289,72.82
01/04/2023,08:00,23.5275,23.5275,23.5275,23.5275,16047.862809999999,7940.736083,10185.153895,9799.846381,19925.519563602596,8136.958345835611,13650.864720676473,14295.630138931314,72.82
01/04/2023,09:00,18.3,17.31,17.39,17.6725,16023.467236,7965.820351,10108.634141999999,9987.544745,19099.68018929683,8079.361671867743,13284.62903099761,14268.069280267477,72.82
01/04/2023,10:00,15.5325,13.495,13.725,14.3,15529.021503,7838.658223,9937.425890999999,10192.123128,18052.31191201799,7975.453266908762,12696.733153029392,14335.474996661318,72.82
01/04/2023,11:00,16.3075,11.9825,13.04,14.13,15022.309185,7659.441832,9734.709407,10323.916738,17113.41561832805,7849.167947440514,12289.204086906577,13705.473039246914,72.82
01/04/2023,12:00,15.5175,12.85,13.58,14.2475,14580.037818,7533.430259999999,9615.999373,10453.190803,16385.480990660653,7759.682698103614,11834.568438691571,13115.620504581311,72.82
